"lon","lat","time","lwe_cm"
109.25,-0.25,2006-04-01,-4.8139627656064
109.25,-0.25,2006-05-01,2.58089292282759
109.25,-0.25,2006-06-01,5.5234995630012
109.25,-0.25,2006-07-01,-3.50882253922581
109.25,-0.25,2006-08-01,-11.7497065550534
109.25,-0.25,2006-09-01,-4.30261279225493
109.25,-0.25,2006-10-01,-15.7602146415779
109.25,-0.25,2006-11-01,-8.05718888325462
109.25,-0.25,2006-12-01,-1.68479255008546
109.25,-0.25,2007-01-01,1.7365829050673
109.25,-0.25,2007-02-01,-2.00774101962706
109.25,-0.25,2007-03-01,1.11597382078517
109.25,-0.25,2007-04-01,2.96488068471134
109.25,-0.25,2007-05-01,0.0774882391457337
109.25,-0.25,2007-06-01,0.471576016659686
109.25,-0.25,2007-07-01,-3.11729477805861
109.25,-0.25,2007-08-01,-1.03710954349793
109.25,-0.25,2007-09-01,4.84242546396443
109.25,-0.25,2007-10-01,4.25178163473883
109.25,-0.25,2007-11-01,3.80687519849618
109.25,-0.25,2007-12-01,4.6029245465282
109.25,-0.25,2008-01-01,-6.202648997256
109.25,-0.25,2008-02-01,-7.75361511852708
109.25,-0.25,2008-03-01,-5.98614220455681
109.25,-0.25,2008-04-01,-1.61513484808115
109.25,-0.25,2008-05-01,-9.71366854688056
109.25,-0.25,2008-06-01,-7.58070591166106
109.25,-0.25,2008-07-01,-8.02050546384631
109.25,-0.25,2008-08-01,-11.1011095463166
109.25,-0.25,2008-09-01,4.29584994224397
109.25,-0.25,2008-10-01,10.5656994964376
109.25,-0.25,2008-11-01,4.41757549874064
109.25,-0.25,2008-12-01,-1.10748298556013
109.25,-0.25,2009-01-01,-9.75393151330251
109.25,-0.25,2009-02-01,-0.842336595342822
109.25,-0.25,2009-03-01,-5.05474983595041
109.25,-0.25,2009-04-01,1.64894898222249
109.25,-0.25,2009-05-01,-12.5270726616739
109.25,-0.25,2009-06-01,-14.5082804016424
109.25,-0.25,2009-07-01,-6.64438128607758
109.25,-0.25,2009-08-01,-9.41645404366168
109.25,-0.25,2009-09-01,-15.3930869134948
109.25,-0.25,2009-10-01,-13.9934452490357
109.25,-0.25,2009-11-01,-8.05331279411111
109.25,-0.25,2009-12-01,0.493016193129144
109.25,-0.25,2010-01-01,5.12369130544217
109.25,-0.25,2010-02-01,2.03453723608626
109.25,-0.25,2010-03-01,-2.61256476290894
109.25,-0.25,2010-04-01,-2.58970617461471
109.25,-0.25,2010-05-01,-7.76136563927958
109.25,-0.25,2010-06-01,-3.09401306664661
109.25,-0.25,2010-07-01,10.1666393262005
109.25,-0.25,2010-08-01,8.87930138966514
109.25,-0.25,2010-09-01,11.6184506956454
109.25,-0.25,2010-10-01,8.39426813488749
109.25,-0.25,2010-11-01,3.34778177321596
109.25,-0.25,2010-12-01,-0.332418060949037
109.25,-0.25,2011-01-01,-6.06347709217193
109.25,-0.25,2011-02-01,-11.7945361233948
109.25,-0.25,2011-03-01,-12.0275553974032
109.25,-0.25,2011-04-01,-16.2804579024041
109.25,-0.25,2011-05-01,-4.59465239419613
109.25,-0.25,2011-06-01,-6.59434101980318
109.25,-0.25,2011-07-01,-8.59402964541023
109.25,-0.25,2011-08-01,-17.8639260637551
109.25,-0.25,2011-09-01,-16.2309483049666
109.25,-0.25,2011-10-01,-1.78274989731802
109.25,-0.25,2011-11-01,5.12691395840725
109.25,-0.25,2011-12-01,-4.47788481371579
109.25,-0.25,2012-01-01,-11.5542465495101
109.25,-0.25,2012-02-01,-7.45160739663092
109.25,-0.25,2012-03-01,-0.672607889424051
109.25,-0.25,2012-04-01,-5.7925459490195
109.25,-0.25,2012-05-01,-10.1466212226111
109.25,-0.25,2012-06-01,-14.5006964962027
109.25,-0.25,2012-07-01,-6.27216749038925
109.25,-0.25,2012-08-01,-11.1066340816964
109.25,-0.25,2012-09-01,-10.4847892281593
109.25,-0.25,2012-10-01,-2.72788998703676
109.25,-0.25,2012-11-01,5.02900925408578
109.25,-0.25,2012-12-01,6.83866824362029
109.25,-0.25,2013-01-01,-4.15773699748571
109.25,-0.25,2013-02-01,2.12468989827466
109.25,-0.25,2013-03-01,-0.798940966869863
109.25,-0.25,2013-04-01,-3.72257183201439
109.25,-0.25,2013-05-01,-4.49797014106011
109.25,-0.25,2013-06-01,-12.5320366047042
109.25,-0.25,2013-07-01,-5.54659918028762
109.25,-0.25,2013-08-01,-7.42997842878532
109.25,-0.25,2013-09-01,-9.31335767728302
109.25,-0.25,2013-10-01,-11.1967369257807
109.25,-0.25,2013-11-01,-8.6780435894509
109.25,-0.25,2013-12-01,0.628822076684579
109.25,-0.25,2014-01-01,4.28191209174408
109.25,-0.25,2014-02-01,-10.108653138873
109.25,-0.25,2014-03-01,-24.49921836949
109.25,-0.25,2014-04-01,-14.0487231823113
109.25,-0.25,2014-05-01,-12.2844800076524
109.25,-0.25,2014-06-01,-10.649415739521
109.25,-0.25,2014-07-01,-15.0251019842019
109.25,-0.25,2014-08-01,-19.4007882288828
109.25,-0.25,2014-09-01,-19.384369894369
109.25,-0.25,2014-10-01,-20.6090325037164
109.25,-0.25,2014-11-01,-11.1120580054556
109.25,-0.25,2014-12-01,-9.02080856563107
109.25,-0.25,2015-01-01,-6.92955912580655
109.25,-0.25,2015-02-01,-4.9598562587427
109.25,-0.25,2015-03-01,-8.14822925944367
109.25,-0.25,2015-04-01,-11.4077431593861
109.25,-0.25,2015-05-01,-12.5143597841513
109.25,-0.25,2015-06-01,-15.4683987546177
109.25,-0.25,2015-07-01,-18.422437725084
109.25,-0.25,2015-08-01,-25.742274107503
109.25,-0.25,2015-09-01,-24.9793360203237
109.25,-0.25,2015-10-01,-21.9195727373526
109.25,-0.25,2015-11-01,-18.8598094543815
109.25,-0.25,2015-12-01,-15.8000461714105
109.25,-0.25,2016-01-01,-8.98334620334879
109.25,-0.25,2016-02-01,-9.08468483856318
109.25,-0.25,2016-03-01,-3.47651780882974
109.25,-0.25,2016-04-01,-1.27732957649887
109.25,-0.25,2016-05-01,0.921858655831995
109.25,-0.25,2016-06-01,-2.5772927614884
109.25,-0.25,2016-07-01,-16.1169444291859
109.25,-0.25,2016-08-01,-14.0822040601947
109.25,-0.25,2016-09-01,-11.5384052976082
109.25,-0.25,2016-10-01,-8.99460653502176
109.25,-0.25,2016-11-01,-6.45080777243529
109.25,-0.25,2016-12-01,-9.89481587965112
109.25,-0.25,2017-01-01,-14.8657805281069
109.25,-0.25,2017-02-01,-12.6525744191746
109.25,-0.25,2017-03-01,-10.4393683102422
109.25,-0.25,2017-04-01,-8.71146505810876
109.25,-0.25,2017-05-01,-6.46847257628131
109.25,-0.25,2017-06-01,-11.0742327259619
109.25,0.25,2002-04-01,7.08330511444957
109.25,0.25,2002-05-01,14.7050342093729
109.25,0.25,2002-06-01,9.75641657749676
109.25,0.25,2002-07-01,4.80779894562066
109.25,0.25,2002-08-01,-0.140818686255445
109.25,0.25,2002-09-01,-1.87027242224021
109.25,0.25,2002-10-01,6.0303506009032
109.25,0.25,2002-11-01,5.38544222768564
109.25,0.25,2002-12-01,12.2368948446464
109.25,0.25,2003-01-01,12.3014305212438
109.25,0.25,2003-02-01,15.7715072834916
109.25,0.25,2003-03-01,6.706908131303
109.25,0.25,2003-04-01,10.4541086442078
109.25,0.25,2003-05-01,9.94444206628125
109.25,0.25,2003-06-01,7.51094147480609
109.25,0.25,2003-07-01,5.07744088333092
109.25,0.25,2003-08-01,-0.339345579963403
109.25,0.25,2003-09-01,2.46156379434002
